epoch,accuracy,loss,val_accuracy,val_loss
0,0.30357143,1.9230171048300606,0.29985714,2.010709499359131
1,0.36119047,1.750284803193713,0.33685714,1.8766224750791278
2,0.377,1.699057909783863,0.36828572,1.7213443532671246
3,0.38830158,1.6675748014298697,0.34514287,1.8177521510805403
4,0.39457142,1.6463889486070664,0.35942858,1.733931379045759
5,0.39968255,1.631919356073652,0.387,1.671410217012678
6,0.40360317,1.6204481994840834,0.38357142,1.6798026034491402
7,0.40842858,1.6095199966884794,0.38785714,1.6911784184319631
8,0.40771428,1.6022439784700908,0.395,1.6632067737579346
9,0.41020635,1.5941840351498315,0.37385714,1.7010063438415528
